title,description,label
"Abandoned Amusement Park at Midnight","Rusty Ferris wheel creaks as shadowy figures watch from broken ticket booths. You try to run but your legs won't move.",0
"Talking to a Glacier","A melting glacier shares stories of ancient climates. You feel profound sadness for the Earth but also clarity.",1
"Spiders Knitting Your Skin","Your arms and legs are sewn together with iridescent spider silk. The spiders whisper your insecurities.",0
"Library of Floating Books","Tombs drift peacefully in a sunlit atrium. You pluck a book from the air and it opens to a page about your childhood.",1
"Eyes Growing on Walls","Hundreds of blinking eyes emerge from peeling wallpaper. They follow you while repeating your secrets.",0
"Feeding Moonlight to Wolves","Pack of wolves gently licks silvery light from your palms. They guide you through a glowing forest.",1
"Breathing Under Lava","Suffocating in molten rock that scorches your throat. Demonic faces laugh in the bubbling flow.",0
"Dancing with Your Younger Self","A child version of you teaches a joyful dance in a field of dandelions. You wake smiling.",1
"Teeth Turning to Broken Glass","Crunching shards fill your mouth as blood drips down your chin. Crowd points and laughs.",0
"Painting the Northern Lights","You brush colors across the sky that ripple into auroras. Strangers applaud as wolves howl approval.",1
"School Bus Hanging Over a Cliff","Screaming classmates clutch seats as the bus teeters. Your hands slip when reaching for help.",0
"Singing with Ocean Whales","Their songs vibrate in your chest as bioluminescent fish swirl around you. Deep peace lingers after waking.",1
"Skin Peeling Like Onion Layers","Flesh falls away painlessly, revealing glowing bones. Onlookers scream but you feel free.",0
"Clockwork Garden","Mechanical flowers bloom with ticking sounds. You wind their gears and they gift you metal petals.",1
"Buried Alive in Honey","Golden syrup fills your lungs as bees crawl into your nostrils. Sweetness turns to panic.",0
"Flying on a Paper Swan","Soaring over origami cities that fold/unfold beneath you. Wind smells like old book pages.",1
"Mirrors Reflecting Your Fears","Every mirror shows grotesque versions of yourself. The reflections step out and surround you.",0
"Tea Party with Ghosts","Civil War-era spirits debate philosophy over Earl Grey. They laugh when you mention the internet.",1
"Quicksand Made of Hair","Struggling in a pit of writhing human hair. Slimy strands wrap around your neck.",0
"Starving Artist's Feast","Painting a banquet that becomes real. You eat shimmering fruits that taste like your happiest memories.",1
"Faces Melting Off Crowd","At a concert, the audience's features drip like wax. The band plays louder as you scream.",0
"Garden Where Flowers Scream","Blooms shriek when touched. You're forced to prune them as blood-like sap stains your hands.",0
"Floating Through Your Memories","Drifting past scenes from your life projected on clouds. A warm voice narrates your growth.",1
"Sinking in a Cathedral","Marble floors dissolve as you clutch crumbling pews. Stained-glass saints avert their eyes.",0
"Teaching Birds Algebra","Robins solve equations written in sunflower seeds. They bow when you explain Fibonacci sequences.",1
"Worms Writing on Your Skin","Slimy trails form accusatory words. You scratch until you bleed but they keep writing.",0
"Wedding on a Comet","Exchanging vows as icy space dust swirls around you. Guests include star clusters and nebulae.",1
"Endless Hallway of Doors","Every door opens to your childhood home, but something lurks inside. You slam them shut.",0
"Taming a Lightning Storm","Riding a thunderbolt to calm raging clouds. Rainbows bloom where lightning strikes earth.",1
"Flesh-Eating Butterflies","Delicate wings slice your skin as they feast. Their beauty makes the pain worse.",0
"Conversing with Rain","Drops form words on your window. They tell secrets about people you've lost.",1
"Trapped in a Snow Globe","Shaken violently by a giant child. Snowflakes cut like glass when you scream.",0
"Baking Bread with a Volcano","Lava kneads dough that erupts into golden loaves. The smell comforts entire villages.",1
"Snakes for Hair","Vipers hiss insults in your ears. You try to cut them but they regrow instantly.",0
"Clock Strikes Immortality","A clocktower grants eternal life at midnight. You watch loved ones age and die.",1
"Suffocating in Plastic Ocean","Swimming through garbage that wraps around your limbs. Dead fish stare accusingly.",0
"Solving Riddles with a Sphinx","Its puzzles unlock memories you'd suppressed. You leave lighter, despite unsolved mysteries.",1
"Graveyard Shift at Doll Factory","Dolls come alive and demand payment in teeth. Their glass eyes gleam in moonlight.",0
"Birth of a New Constellation","You arrange stars into a pattern that astronomers will name after your childhood nickname.",1
"Roaches Spilling from Mouth","You vomit insects endlessly. They skitter into dark corners and whisper.",0
"Picnic with Extinct Animals","Dodos and saber-tooths share your sandwiches. They vanish when you mention extinction.",1
"Fingernails Turning to Keys","You unlock doors to nightmares. Each key grows back sharper.",0
"Sunrise Made of Violin Music","Light crests the horizon in harmonic waves. Your body hums with the melody.",1
"Trapped in a Dying Star","Burning alive as the star collapses. Alien creatures watch indifferently.",0
"Learning Forgiveness from a River","Its currents carve a stone into your flaws. You carry the smooth rock home.",1
"Zombie Surgeons","They operate to 'fix' your happiness. You wake with stitches but no wounds.",0
